catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
BC-BE-001,"Element bed, bed-mounted headboard, with slats, excl. mattress","$2,149.00",https://www.boconcept.com/en-us/p/element/379cn00-3:25-4:0708-16:12/,BoConcept_catalog/beds/Element_bed_bed_mounted_headboard_with_slats_excl_mattress.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '36½ ""', 'width': '57½ ""'}",beds
BC-BE-002,"Element bed, wall-mounted headboard, with slats, excl. mattress","$1,999.00",https://www.boconcept.com/en-us/p/element/379cd00-3:25-4:0708-16:12/,BoConcept_catalog/beds/Element_bed_wall_mounted_headboard_with_slats_excl_mattress.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '13 ""', 'width': '57½ ""'}",beds
BC-BE-003,"Element bed, bed-mounted headboard, with slats and storage solution, excl. mattress","$4,779.00",https://www.boconcept.com/en-us/p/element/379jb00-3:26-9:0702-14:3091-16:12/,BoConcept_catalog/beds/Element_bed_bed_mounted_headboard_with_slats_and_storage_solution_excl_mattress.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '43 ""', 'width': '59¼ ""'}",beds
BC-BE-004,Bolzano bed with slats  - 140x200 cm,"$6,099.00",https://www.boconcept.com/en-us/p/bolzano/3790840-14:3320-16:12-20:2/,BoConcept_catalog/beds/Bolzano_bed_with_slats_140x200_cm.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '41½ ""', 'width': '81¾ ""'}",beds
BC-BE-005,"Lugano storage bed with lift-up frame and slats, excl. mattress","$3,969.00",https://www.boconcept.com/en-us/p/lugano/378ciw9-5:0115-9:0008-14:2065-16:93-20:2/,BoConcept_catalog/beds/Lugano_storage_bed_with_lift_up_frame_and_slats_excl_mattress.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '51¼ ""', 'width': '82¾ ""'}",beds
BC-BE-006,Bolzano bed  - W140xL200cm,"$5,899.00",https://www.boconcept.com/en-us/p/bolzano/3791340-14:3320-16:12-20:1/,BoConcept_catalog/beds/Bolzano_bed_W140xL200cm.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '41½ ""', 'width': '77 ""'}",beds
BC-BE-007,"Element bed, bed-mounted headboard, with slats, excl. mattress","$3,699.00",https://www.boconcept.com/en-us/p/element/379fn00-3:25-9:0702-14:3310-16:12/,BoConcept_catalog/beds/Element_bed_bed_mounted_headboard_with_slats_excl_mattress.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '42¼ ""', 'width': '57¼ ""'}",beds
BC-BE-008,"Element bed, wall-mounted headboard, with slats, excl. mattress","$3,249.00",https://www.boconcept.com/en-us/p/element/379fa00-3:25-9:0708-14:3310-16:390/,BoConcept_catalog/beds/Element_bed_wall_mounted_headboard_with_slats_excl_mattress.jpg,"Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black","{'height': '13 ""', 'width': '39½ ""'}",beds
