catalog_number,item_name,item_type,price,color,image_url,link
HF-CH-005,Westhaven Bachelor Chest,chest,$799.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3830?wid=824&hei=551,https://www.havertys.com/products/product-page/westhaven-bachelor-chest
HF-CH-006,Blackburn Master Chest,chest,$2499.99,Standard finish,,https://www.havertys.com/products/product-page/blackburn-master-chest
HF-CH-007,Hyde Park Master Chest,chest,$2899.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3179?wid=824&hei=551,https://www.havertys.com/products/product-page/hyde-park-master-chest
HF-CH-008,Corsica Drawer Chest,chest,$1299.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3781?wid=824&hei=551,https://www.havertys.com/products/product-page/corsica-drawer-chest
HF-CH-009,Hyde Park Bachelor Chest,chest,$1499.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3196?wid=824&hei=551,https://www.havertys.com/products/product-page/hyde-park-bachelor-chest
HF-CH-010,Breckenridge Master Chest,chest,$2099.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3333?wid=824&hei=551,https://www.havertys.com/products/product-page/breckenridge-master-chest
HF-BN-001,Hyde Park Bench,bench,$999.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3198?wid=824&hei=551,https://www.havertys.com/products/product-page/hyde-park-bench
HF-BN-002,Kelly Leather Storage Bench,bench,$1399.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-2501-5213?wid=824&hei=551,https://www.havertys.com/products/product-page/kelly-leather-storage-bench
HF-BN-003,Laurel Canyon Bench,bench,$399.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/1-4500-0491?wid=824&hei=551,https://www.havertys.com/products/product-page/laurel-canyon-bench
HF-BN-004,Kelly Storage Bench,bench,$899.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-2501-1208?wid=824&hei=551,https://www.havertys.com/products/product-page/kelly-storage-bench
HF-BN-005,Lane Park Stool,bench,$549.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/1-4500-0338?wid=824&hei=551,https://www.havertys.com/products/product-page/lane-park-stool
HF-BN-006,Anya Bench,bench,$2399.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-4000-4197?wid=824&hei=551,https://www.havertys.com/products/product-page/anya-bench
HF-BN-007,Corsica Bench,bench,$449.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/1-4500-0254?wid=824&hei=551,https://www.havertys.com/products/product-page/corsica-bench
HF-SF-001,Sandy Sofa,sofa,$1199.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/1-2500-8297?wid=824&hei=551,https://www.havertys.com/products/product-page/sandy-sofa
HF-SF-002,Centennial Sofa,sofa,$1999.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-2501-0273?wid=824&hei=551,https://www.havertys.com/products/product-page/centennial-sofa
HF-SF-003,Jubilee 88 Inch 2 Seat Sofa,sofa,$1699.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-2501-4958?wid=824&hei=551,https://www.havertys.com/products/product-page/jubilee-88-inch-2-seat-sofa
HF-SF-004,Kensington Power Sofa,sofa,$2699.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-2501-5134?wid=824&hei=551,https://www.havertys.com/products/product-page/kensington-power-sofa
HF-SF-005,Apollo Power Sofa,sofa,$2299.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-2501-0866?wid=824&hei=551,https://www.havertys.com/products/product-page/apollo-power-sofa
HF-SF-006,Jenna Sofa,sofa,$999.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/1-2500-9911?wid=824&hei=551,https://www.havertys.com/products/product-page/jenna-sofa
HF-SF-007,Paris Sofa,sofa,$1299.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-2501-4298?wid=824&hei=551,https://www.havertys.com/products/product-page/paris-sofa
HF-SF-008,Sandy Sleeper,sofa,$1699.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-3000-2412?wid=824&hei=551,https://www.havertys.com/products/product-page/sandy-sleeper
HF-SF-009,Ava Sofa,sofa,$2699.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/1-2500-9726?wid=824&hei=551,https://www.havertys.com/products/product-page/ava-sofa
HF-SF-010,Lillian 82 Inch 2 Seat Queen Sleeper Sofa,sofa,$3299.99,Standard finish,https://havertys.scene7.com/is/image/HvtWeb2/0-3000-2989?wid=824&hei=551,https://www.havertys.com/products/product-page/lillian-82-inch-2-seat-queen-sleeper-sofa
