catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
HF-BN-001,Hyde Park Bench,$999.99,https://www.havertys.com/products/product-page/hyde-park-bench,https://havertys.scene7.com/is/image/HvtWeb2/0-4500-3198?wid=824&hei=551,,"{'width': '56', 'height': '19', 'depth': '18', 'weight': '66.1 lbs.'}",bench
HF-BN-002,Kelly Leather Storage Bench,$1399.99,https://www.havertys.com/products/product-page/kelly-leather-storage-bench,https://havertys.scene7.com/is/image/HvtWeb2/0-2501-5213?wid=824&hei=551,,"{'width': '56', 'height': '20', 'depth': '21', 'weight': '60 lbs.'}",bench
HF-BN-003,Laurel Canyon Bench,$399.99,https://www.havertys.com/products/product-page/laurel-canyon-bench,https://havertys.scene7.com/is/image/HvtWeb2/1-4500-0491?wid=824&hei=551,,"{'width': '54', 'height': '19', 'depth': '17', 'weight': '57.2 lbs.'}",bench
HF-BN-004,Kelly Storage Bench,$899.99,https://www.havertys.com/products/product-page/kelly-storage-bench,https://havertys.scene7.com/is/image/HvtWeb2/0-2501-1208?wid=824&hei=551,,"{'width': '56', 'height': '20', 'depth': '21', 'weight': '60 lbs.'}",bench
HF-BN-005,Lane Park Stool,$549.99,https://www.havertys.com/products/product-page/lane-park-stool,https://havertys.scene7.com/is/image/HvtWeb2/1-4500-0338?wid=824&hei=551,,"{'width': '18', 'height': '19.3', 'depth': '18', 'weight': '62 lbs.'}",bench
HF-BN-006,Anya Bench,$2399.99,https://www.havertys.com/products/product-page/anya-bench,https://havertys.scene7.com/is/image/HvtWeb2/0-4000-4197?wid=824&hei=551,,"{'width': '66', 'height': '18', 'depth': '18', 'weight': '51 lbs.'}",bench
HF-BN-007,Corsica Bench,$449.99,https://www.havertys.com/products/product-page/corsica-bench,https://havertys.scene7.com/is/image/HvtWeb2/1-4500-0254?wid=824&hei=551,,"{'width': '55.4', 'height': '18', 'depth': '19.4', 'weight': '60 lbs.'}",bench
