catalog_number,item_name,price,link,image_url,colors,dimensions,item_type
ID-NIG-001,Leta · One Drawer Oak Nightstand,$1035,https://www.interiordefine.com/bedroom/all-nightstands-dressers/leta-one-drawer-nightstand,Leta_One_Drawer_Oak_Nightstand.jpg,Red,N/A,nightstand
ID-NIG-002,Fitzgerald · Oak and Leather Side Table,$855,https://www.interiordefine.com/bedroom/all-nightstands-dressers/fitzgerald-side-table,Fitzgerald_Oak_and_Leather_Side_Table.jpg,"Black, Red",N/A,nightstand
ID-NIG-003,Redmond · Nightstand,$975,https://www.interiordefine.com/bedroom/all-nightstands-dressers/redmond-nightstand,Redmond_Nightstand.jpg,Red,N/A,nightstand
ID-NIG-004,Lydell · Nightstand,$540,https://www.interiordefine.com/bedroom/all-nightstands-dressers/lydell-nightstands,Lydell_Nightstand.jpg,Red,N/A,nightstand
ID-NIG-005,Briggs · Fruitwood Nightstand,$495,https://www.interiordefine.com/bedroom/all-nightstands-dressers/briggs-nightstand,Briggs_Fruitwood_Nightstand.jpg,Red,N/A,nightstand
ID-NIG-006,Leta · Two Drawer Oak Nightstand,$1150,https://www.interiordefine.com/bedroom/all-nightstands-dressers/leta-two-drawer-nightstand,Leta_Two_Drawer_Oak_Nightstand.jpg,Red,N/A,nightstand
